"","ACCIDENT_N","ID","LOCATION","DISTANCE","DIRECTION","DATE","TIME","COLL_TYPE","INVOLVED","EXTENT","TRAVERSE","REPNO","PCF","LIGHTING","NUMO_INJ","NUMO_KLD","PARTY1","PARTY2","DOT1","DOT2","MPC1","MPC2","HIGHLIGHT","X","Y","DOCUMENT","MILEPOST","LAT","LONG","x","y","lat","lon","coords.x1","coords.x2"
"0",7306062000022,0,"Ellis St at Leavenworth St","2","West","1/2/2000","06:20 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Other Hazardous Movement","Dark - Street Lights","1","0","Driver","Bicyclist","West","East","Making Left Turn","Traveling Wrong Way",NA,6008464.01894,2113831.7254,NA,NA,NA,NA,6008464.01894,2113831.7254,-122.414436529783,37.7846568237746,6008464.01894129,2113831.7253978
"1",7306081000866,0,"43rd Ave at Rivera St","225","South","1/2/2000","08:10 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","East","North","Making U Turn","Proceeding Straight",NA,5982964.95962,2099932.14083,NA,NA,NA,NA,5982964.95962,2099932.14083,-122.50162467329,37.7450270723039,5982964.95961649,2099932.14083406
"2",7306155002232,0,"Ofarrell St at Larkin St","5","East","1/2/2000","03:50 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Traffic Signals and Signs","Daylight","1","0","Bicyclist","Driver","North","East","Entering Traffic","Proceeding Straight",NA,6007471.95262,2114038.68671,NA,NA,NA,NA,6007471.95262,2114038.68671,-122.417883431998,37.7851693080404,6007471.95261876,2114038.68670764
"3",7306174201528,0,"Mission St at 24th St","191","South","1/2/2000","05:42 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Unsafe Starting or Backing","Dark - Street Lights","1","0","Driver","Bicyclist","North","South","Backing","Proceeding Straight",NA,6007074.79404,2101863.30525,NA,NA,NA,NA,6007074.79404,2101863.30525,-122.418393880385,37.7517162248518,6007074.7940426,2101863.30524746
"4",7309085500125,0,"14th St at Market St","12","South","1/5/2000","08:55 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Turning","Daylight","1","0","Bicyclist","Driver","South","South","Making Left Turn","Proceeding Straight",NA,6004239.97107,2107756.83277,NA,NA,NA,NA,6004239.97107,2107756.83277,-122.42861714032,37.76773846215,6004239.97106905,2107756.83277002
"5",7310130500380,0,"Post St at Hyde St","265","East","1/6/2000","01:05 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Daylight","1","0","Bicyclist","Pedestrian","West","West","Proceeding Straight","Not Applicable - Ped",NA,6008109.48879,2114823.39551,NA,NA,NA,NA,6008109.48879,2114823.39551,-122.415733330423,37.7873597864666,6008109.48879444,2114823.39550511
"6",7311162200551,0,"Potrero Ave at 21st St","0","Not Stated","1/7/2000","04:22 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Auto R/W Violation","Dusk - Dawn","1","0","Driver","Bicyclist","West","South","Making Left Turn","Proceeding Straight",NA,6010471,2103996,NA,NA,NA,NA,6010471,2103996,-122.406799584186,37.7577627290703,6010471,2103996
"7",7312130501637,0,"16th St at Rondel Pl","26","West","1/8/2000","01:05 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Unsafe Speed","Daylight","1","0","Bicyclist","Driver","East","East","Proceeding Straight","Stopped in Road",NA,6006325.03088,2106698.73321,NA,NA,NA,NA,6006325.03088,2106698.73321,-122.421330012242,37.7649509503727,6006325.03087887,2106698.7332136
"8",7313163101439,0,"Edinburg St at Persia Ave","10","North","1/9/2000","04:31 PM","Other","Non-Collision","Other Visible Injury",NA,NA,"Unsafe Speed","Daylight","1","0","Bicyclist",NA,"North",NA,"Making Right Turn",NA,NA,6002916.33821,2090857.45597,NA,NA,NA,NA,6002916.33821,2090857.45597,-122.431988538546,37.7212617147017,6002916.33821319,2090857.45597303
"9",7314090500654,0,"Market St at Van Ness Ave","0","Not Stated","1/10/2000","09:05 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","East","East","Making Right Turn","Proceeding Straight",NA,6007001,2110398,NA,NA,NA,NA,6007001,2110398,-122.41925443559,37.7751463479194,6007001,2110398
"10",7316164000469,0,"Mission St at 18th St","63","South","1/12/2000","04:40 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Passing","Dark - Street Lights","1","0","Driver","Bicyclist","North","North","Changing Lanes","Proceeding Straight",NA,6006874.55426,2105490.10034,NA,NA,NA,NA,6006874.55426,2105490.10034,-122.419343597685,37.761663293588,6006874.55426161,2105490.10034003
"11",7317060500121,0,"Van Ness Ave at Geary Blvd","0","Not Stated","1/13/2000","06:05 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Auto R/W Violation","Dark - Street Lights","1","0","Bicyclist","Driver","South","North","Proceeding Straight","Making Left Turn",NA,6006462,2114248,NA,NA,NA,NA,6006462,2114248,-122.421392430444,37.7856871410294,6006462,2114248
"12",7324074001342,0,"Van Ness Ave at 16th St","0","Not Stated","1/20/2000","07:40 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Unsafe Speed","Daylight","1","0","Bicyclist","Driver","East","North","Proceeding Straight","Proceeding Straight",NA,6007438,2106760,NA,NA,NA,NA,6007438,2106760,-122.417484864879,37.7651818602318,6007438,2106760
"13",7324183001841,0,"3rd St at Thornton Ave","33","North","1/20/2000","06:30 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Auto R/W Violation","Dark - Street Lights","1","0","Driver","Bicyclist","East","South","Entering Traffic","Proceeding Straight",NA,6014515.4448,2094068.61955,NA,NA,NA,NA,6014515.4448,2094068.61955,-122.392117858375,37.7307296852909,6014515.44479978,2094068.61954707
"14",7325094500491,0,"Kearny St at Hardie Pl","0","Not Stated","1/21/2000","09:45 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","East","North","Making Right Turn","Proceeding Straight",NA,6011540,2115819,NA,NA,NA,NA,6011540,2115819,-122.403934498676,37.7902857287856,6011540,2115819
"15",7326200001960,0,"Potrero Ave at 24th St","20","North","1/22/2000","08:00 PM","Other","Bicycle","Severe Injury",NA,NA,"Traffic Signals and Signs","Dark - Street Lights","1","0","Bicyclist","Driver","East","North","Proceeding Straight","Proceeding Straight",NA,6010568.92397,2102280.97103,NA,NA,NA,NA,6010568.92397,2102280.97103,-122.406340082658,37.7530591194753,6010568.9239745,2102280.97103325
"16",7328150002239,0,"Ocean Ave at Faxon Ave (W)","122","East","1/24/2000","03:00 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Daylight","1","0","Driver","Bicyclist","East","East","Stopped in Road","Proceeding Straight",NA,5994892.22843,2092263.21419,NA,NA,NA,NA,5994892.22843,2092263.21419,-122.459827190131,37.7246634184571,5994892.22843359,2092263.21419214
"17",7335122000139,0,"Noriega St at 29th Ave","0","Not Stated","1/31/2000","12:20 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Passing","Daylight","1","0","Driver","Bicyclist","West","West","Stopped in Road","Proceeding Straight",NA,5987207,2103025,NA,NA,NA,NA,5987207,2103025,-122.487183766983,37.7537674769227,5987207,2103025
